source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\264BOAT_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,149,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,150,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,151,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,152,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,153,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,154,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,155,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,156,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,157,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,158,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,159,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,160,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,161,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,M:1 H:1,,,,,none,1,,,162,,,,#000000,12.0,path,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,163,,,,,,g,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,164,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,165,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,166,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,167,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,168,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,169,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,170,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,171,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,172,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,173,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,174,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,175,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,176,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,177,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,178,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,179,,,,,,g,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,180,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,181,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,182,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,183,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,184,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,185,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,186,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,187,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,188,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,189,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,190,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,191,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,192,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,193,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,194,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,195,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,196,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,197,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,198,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,199,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,200,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,201,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,202,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,203,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,204,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,205,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,206,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,207,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,208,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,209,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,210,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,211,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,212,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,213,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,214,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,215,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,216,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,217,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,218,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,219,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,220,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,221,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,222,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,223,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,224,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,225,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,226,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,227,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,228,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,229,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,230,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,231,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,232,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,233,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,234,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,235,,,,,,use,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,236,,,,,,use,,
